0
[ 8.33333333  7.          8.6         7.6         8.53333333]
[ 7.          8.6         7.6         8.53333333  7.4       ]
[ 8.6         7.6         8.53333333  7.4         8.46666667]
[ 7.6         8.53333333  7.4         8.46666667  7.6       ]
[ 8.53333333  7.4         8.46666667  7.6         8.8       ]
[ 7.4         8.46666667  7.6         8.8         7.2       ]
[ 8.46666667  7.6         8.8         7.2         8.8       ]
[ 7.6         8.8         7.2         8.8         8.06666667]
[ 8.8         7.2         8.8         8.06666667  8.46666667]
[ 7.2         8.8         8.06666667  8.46666667  7.2       ]
[ 8.8         8.06666667  8.46666667  7.2         8.6       ]
[ 8.06666667  8.46666667  7.2         8.6         7.4       ]
[ 8.46666667  7.2         8.6         7.4         8.4       ]
[ 7.2         8.6         7.4         8.4         7.73333333]
[ 8.6         7.4         8.4         7.73333333  7.2       ]
[ 7.4         8.4         7.73333333  7.2         8.53333333]
[ 8.4         7.73333333  7.2         8.53333333  8.46666667]
[ 7.73333333  7.2         8.53333333  8.46666667  6.86666667]
[ 7.2         8.53333333  8.46666667  6.86666667  8.6       ]
[ 8.53333333  8.46666667  6.86666667  8.6         7.4       ]
[ 8.46666667  6.86666667  8.6         7.4         9.33333333]
[ 6.86666667  8.6         7.4         9.33333333  6.93333333]
[ 8.6         7.4         9.33333333  6.93333333  8.26666667]
[ 7.4         9.33333333  6.93333333  8.26666667  7.13333333]
[ 9.33333333  6.93333333  8.26666667  7.13333333  8.8       ]
[ 6.93333333  8.26666667  7.13333333  8.8         6.66666667]
[ 8.26666667  7.13333333  8.8         6.66666667  9.06666667]
[ 7.13333333  8.8         6.66666667  9.06666667  6.06666667]
[ 8.8         6.66666667  9.06666667  6.06666667  8.8       ]
[ 6.66666667  9.06666667  6.06666667  8.8         6.66666667]
[ 9.06666667  6.06666667  8.8         6.66666667  8.13333333]
[ 6.06666667  8.8         6.66666667  8.13333333  8.6       ]
[  8.8          6.66666667   8.13333333   8.6         10.13333333]
[  6.66666667   8.13333333   8.6         10.13333333   5.9375    ]
[  8.13333333   8.6         10.13333333   5.9375       7.86666667]
